Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
308.6039,0.0010,308.6030,0.0005,2900,4.1e+08,D,16 756.852,-,49 151.54,6d2,a 3F,4,5f6d,z 3G°,5,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9107&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=9107&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
308.7371,0.0010,308.7378,0.0003,4000,5.9e+07,D+,7 426.493,-,39 807.03,6d7s,a 3D,3,5f6d,z 3H°,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
310.0628,0.0010,310.0625,0.0005,210,,,19 015.288,-,51 257.49,6d2,a 3P,1,5f6d,x 3P°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
311.2830,0.0010,311.28244,0.00021,6200,2.4e+08,D+,4 739.632,-,36 855.483,6d7s,a 3D,1,6d7p,y 3P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
311.8781,0.0010,311.8780,0.0004,550,,,19 202.966,-,51 257.49,6d2,a 3P,2,5f6d,x 3P°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
312.0157,0.0010,312.0156,0.0004,3600,4.e+08,E,4 739.632,-,36 780.02,6d7s,a 3D,1,6d7p,y 3P°,0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
313.204,0.001,,,62,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
315.3092,0.0010,315.30874,0.00020,13000c,1.9e+08,E,5 267.148,-,36 972.914,6d7s,a 3D,2,6d7p,3F°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8060&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=8060&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
315.4149,0.0010,315.4134,0.0003,100,4.2e+07,D+,31 174.570,-,62 869.82,6d7p,z 3F°,3,5f(<sup>2</sup>F°<sub>7/2</sub>)7p<sub>3/2</sub>,e 3F,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=u42&amp;element=Ac&amp;spectr_charge=2&amp;ref=&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
315.4410,0.0006,315.4409,0.0003,14000c,1.2e+08,E,7 426.493,-,39 118.978,6d7s,a 3D,3,6d7p,z 3F°,4,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9107&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=9107&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
315.888,0.001,,,97hl,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7344&amp;comment_code=&amp;element=Ac&amp;spectr_charge=2&amp;ref=7344&amp;type=
