Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
,21.0069,0.0010,,2.039e-02,AA,0.00,-,476 034.98,1s2,1S,0,1s2s,3S,1,M1,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=1896&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=1896&amp;type=M1,
80,,,,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
82,82.2176,0.0010,*,4.5196e+07,AAA,476 034.98,-,597 663.40,1s2s,3S,1,1s6p,3P°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
82,82.2181,0.0010,*,4.5196e+07,AAA,476 034.98,-,597 662.73,1s2s,3S,1,1s6p,3P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
82,82.2183,0.0010,*,4.5197e+07,AAA,476 034.98,-,597 662.35,1s2s,3S,1,1s6p,3P°,0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
86.1,86.1329,0.0010,*,7.6775e+07,AAA,476 034.98,-,592 134.70,1s2s,3S,1,1s5p,3P°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
86.1,86.1333,0.0010,*,7.6777e+07,AAA,476 034.98,-,592 134.03,1s2s,3S,1,1s5p,3P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
86.1,86.1336,0.0010,*,7.6778e+07,AAA,476 034.98,-,592 133.65,1s2s,3S,1,1s5p,3P°,0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
90.55,,,,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
,91.221,0.010,,2.6895e+07,AAA,491 374.6,-,600 998.,1s2s,1S,0,1s7p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
