Upper Level Conf,Upper Level Term,average_total_lifetime,average_Ek,var_Ek,var_total_lifetime,count
3d64p,w 2D°,2.7633e-09,7.8589e+04,2.0750e+04,4.2093e-22,2
3d64p,w 2P°,1.6910e-09,7.9043e+04,8.0637e+04,3.6884e-19,2
3d64p,u 2F°,3.0733e-09,8.6515e+04,2.1039e+03,1.8201e-19,2
3d64p,v 2D°,2.6110e-09,8.4114e+04,1.2070e+05,1.7912e-20,2
3d64p,v 2G°,3.0885e-09,8.3588e+04,1.6017e+05,2.4847e-20,2
3d64p,2F°,3.0255e-09,9.6341e+04,4.9048e+06,3.4655e-19,3
3d64p,2G°,2.2489e-09,9.9731e+04,1.2058e+04,8.1837e-22,2
3d64p,2H°,3.3757e-09,9.8065e+04,9.1387e+04,1.4341e-21,2
3d64p,w 2G°,2.2753e-09,7.3117e+04,1.3373e+03,3.4712e-21,2
3d64p,x 2F°,3.3131e-09,7.3036e+04,7.4997e+02,1.5668e-21,2
3d64p,x 2H°,2.6997e-09,7.2196e+04,8.6286e+03,6.9399e-20,2
3d64p,w 2H°,2.3714e-09,7.3677e+04,1.0913e+04,4.2044e-20,2
3d64p,y 2I°,2.8134e-09,7.3968e+04,4.2574e+00,8.9110e-22,2
3d64p,z 2K°,3.7188e-09,7.1210e+04,9.9468e+04,9.5557e-21,2
3d65s,2I,2.5055e-09,1.0864e+05,1.6717e+02,1.0316e-20,2
3d64p,x 2P°,2.2373e-09,7.6353e+04,1.0034e+05,6.7682e-20,2
3d64p,w 2F°,1.9120e-09,7.5758e+04,4.9355e+04,2.9814e-22,2
3d64p,w 4D°,2.8514e-09,7.2556e+04,1.0059e+04,2.1260e-20,4
3d64p,w 4F°,3.3798e-09,7.2353e+04,4.5191e+04,2.2602e-21,4
3d64p,w 4P°,2.4964e-09,7.2074e+04,1.6105e+04,1.0486e-20,3
3d64p,x 2D°,3.2961e-09,7.4552e+04,5.9156e+03,1.5161e-19,2
3d64p,y 2P°,5.6736e-09,7.3188e+04,1.6128e+00,9.0202e-18,2
3d64s,b 4D,4.7383e+00,3.1401e+04,3.1070e+03,7.6589e-01,4
3d65s,2D,3.7830e-09,1.0963e+05,1.2837e+03,1.2139e-18,2
3d65s,4D,2.6920e-09,1.0871e+05,4.3550e+03,3.8128e-21,4
3d64p,2D°,5.1282e-09,9.4700e+04,,,1
3d64p,4D°,4.5952e-09,9.2783e+04,8.6949e+04,5.3598e-18,4
3d64p,4G°,3.8970e-09,8.9974e+04,4.4328e+04,9.0120e-20,4
3d64p,u 2G°,3.5992e-09,9.2387e+04,9.2890e+04,4.9496e-19,2
3d64p,u 4F°,3.0243e-09,9.3424e+04,5.8840e+03,1.9471e-20,4
3d65p,4D°,9.4975e-09,1.0162e+05,1.0586e+08,2.2218e-17,9
3d64d,2D,2.5492e-09,1.0812e+05,4.6378e+06,1.5278e-18,5
