Wavelength,Unc.  (nm),Aki (s-1),Ei,Ek,Lower Level Conf,Lower Level Term,Lower Level J,Upper Level Conf,Upper Level Term,Upper Level J,Type,TPRef.,LineRef.
2 019.270+,0.0012,930000.0,83889.971,88842.256,5p5(2P°3/2)5d,2[3/2]°,1,5p5(2P°3/2)7p,2[1/2],0,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8608&amp;comment_code=n&amp;element=Xe&amp;spectr_charge=1&amp;ref=8608&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9760&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=9760&amp;type=
2 026.778+,0.0012,2400000.0,78956.031,83889.971,5p5(2P°3/2)6p,2[3/2],1,5p5(2P°3/2)5d,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7944&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7944&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9760&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=9760&amp;type=
2 059.907+,0.0013,70000.0,83889.971,88744.559,5p5(2P°3/2)5d,2[3/2]°,1,5p5(2P°3/2)7p,2[3/2],1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8608&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=8608&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9760&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=9760&amp;type=
2 084.841+,0.0013,36000.0,83889.971,88686.5,5p5(2P°3/2)5d,2[3/2]°,1,5p5(2P°3/2)7p,2[3/2],2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8608&amp;comment_code=n&amp;element=Xe&amp;spectr_charge=1&amp;ref=8608&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9760&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=9760&amp;type=
2 241.293+,,198000.0,83889.971,88351.681,5p5(2P°3/2)5d,2[3/2]°,1,5p5(2P°3/2)7p,2[5/2],2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8608&amp;comment_code=n&amp;element=Xe&amp;spectr_charge=1&amp;ref=8608&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2228&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=2228&amp;type=
2 476.989+,,24000.0,83889.971,87927.131,5p5(2P°3/2)5d,2[3/2]°,1,5p5(2P°3/2)7p,2[1/2],1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8608&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=8608&amp;type=,
2 483.150+,0.08,590000.0,78403.061,82430.204,5p5(2P°3/2)6p,2[5/2],3,5p5(2P°3/2)5d,2[5/2]°,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=796&amp;comment_code=n&amp;element=Xe&amp;spectr_charge=1&amp;ref=796&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7449&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7449&amp;type=
2 627.626+,0.08,620000.0,78119.798,81925.514,5p5(2P°3/2)6p,2[5/2],2,5p5(2P°3/2)5d,2[5/2]°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7944&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7944&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7449&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7449&amp;type=
2 651.810+,0.08,160000.0,80118.962,83889.971,5p5(2P°3/2)6p,2[1/2],0,5p5(2P°3/2)5d,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7944&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7944&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=7449&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=7449&amp;type=
2 660.83+,,930000.0,89860.015,93618.24,5p5(2P°1/2)6p,2[1/2],0,5p5(2P°1/2)5d,2[3/2]°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=796&amp;comment_code=n&amp;element=Xe&amp;spectr_charge=1&amp;ref=796&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=2228&amp;comment_code=&amp;element=Xe&amp;spectr_charge=1&amp;ref=2228&amp;type=
